,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
126,JONES,1674,2863,156,134,98,71,2,2,0,239,198,0,241,176,132,49,192,1,4188,59,14.1,137,32,23.4%,43,15,,,15,3.6,2,12,10,8,0,2,0,0,0,6,9,93203,0,1,0,3,1623.93,12,1,161.50,97,4188,284,2505,1347,4,48,,,,,,,3043,4,125,1,12,9,3,4188,0,6,0,0,0,0,6,16,32,0,0,0,32,,,
127,KARNES,1368,2290,67,64,29,26,0,0,0,156,131,0,198,149,130,44,154,15,3410,47,13.8,110,21,19.1%,38,10,,,33,9.7,17,35,28,25,0,17,1,7,0,2,28,472418,0,0,0,2,9000.00,35,0,0.00,28,3410,49,1037,2313,4,7,,,,,,,2701,5,152,1,12,3,3,3410,0,1,0,0,0,0,1,2,10,0,0,27,37,,,
128,KAUFMAN,9378,12480,375,303,255,334,149,144,9,1143,1004,10,1155,934,723,143,1012,58,26938,196,7.3,707,136,19.2%,147,26,,,137,5.1,64,136,89,121,0,67,2,18,36,20,89,973269,0,11,3,86,39342.15,136,3,323.34,261,26938,2986,16781,6948,29,194,,,,,,,20247,35,4280,5,60,41,22,26938,0,72,1,0,0,0,73,245,8,0,1,0,9,,,
129,KENDALL,3188,5739,94,56,24,16,0,0,0,203,182,2,229,161,148,36,193,21,7188,62,8.6,147,40,27.2%,20,4,,,46,6.4,26,44,30,43,0,27,5,4,4,4,30,336508,0,2,2,4,6800.00,44,1,79.07,39,7188,11,5103,2041,4,29,,,,,,,5201,17,1325,2,24,5,3,7188,1,24,1,0,1,0,27,153,71,0,24,0,95,,,
130,KENEDY,36,94,0,0,0,0,0,0,0,4,3,0,2,1,1,1,1,1,118,1,8.5,2,1,50.0%,0,0,,,1,8.5,1,1,1,1,0,1,0,0,0,1,1,177,0,0,0,0,0.00,1,0,0.00,0,118,0,22,95,1,0,,,,,,,95,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,KENT,62,286,3,3,3,2,0,0,0,6,6,0,7,4,3,2,5,0,115,3,26.1,6,2,33.3%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,115,0,110,5,0,0,,,,,,,89,0,0,0,0,0,0,115,0,1,0,0,0,0,1,12,10,0,0,0,10,,,
132,KERR,3591,11711,381,261,163,195,60,60,6,613,539,7,619,438,410,115,504,58,8900,163,18.3,373,94,25.2%,122,35,,,247,27.8,76,237,165,199,0,77,1,52,28,52,166,2092653,0,3,1,42,26794.14,237,33,4554.14,218,8900,155,5023,3670,4,48,,,,,,,7005,16,1409,4,48,15,5,8900,3,29,3,0,2,0,37,309,182,0,18,1,201,,,
133,KIMBLE,356,1146,45,39,37,38,0,0,0,49,43,0,71,54,51,10,61,1,1060,17,16.0,43,11,25.6%,11,5,,,23,21.7,1,17,17,19,0,1,0,10,8,8,14,245448,0,1,0,10,13748.06,17,0,0.00,20,1060,0,715,336,0,9,,,,,,,845,2,100,1,12,1,0,1060,0,3,0,0,0,0,3,14,33,0,0,1,34,,,
134,KING,34,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,66,0,57,9,0,0,,,,,,,38,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
135,KINNEY,246,860,18,15,11,6,0,0,0,21,21,0,28,26,26,2,26,2,795,2,2.5,15,2,13.3%,5,0,,,3,3.8,2,3,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0.00,3,0,0.00,2,795,0,223,572,0,0,,,,,,,607,2,35,0,0,1,0,795,0,2,0,0,0,0,2,3,11,0,0,14,25,,,
136,KLEBERG,2695,3908,110,84,58,69,0,0,0,384,350,4,643,482,437,144,499,5,8211,140,17.1,350,83,23.7%,150,46,,,100,12.2,29,94,58,80,0,28,13,9,8,24,58,861809,0,4,0,27,34957.19,94,19,5259.57,291,8211,392,1614,6065,4,136,,,,,,,6758,13,699,1,12,10,5,8211,0,12,0,0,0,0,12,49,380,0,40,17,437,,,
137,KNOX,313,866,41,37,25,38,0,0,0,42,36,0,26,20,14,5,21,2,1001,6,6.0,16,4,25.0%,11,3,,,8,8.0,0,9,8,6,0,0,2,2,1,1,9,156612,0,0,0,0,0.00,9,0,0.00,9,1001,106,508,387,0,0,,,,,,,794,3,94,0,0,1,0,1001,0,0,0,0,0,0,0,0,16,0,0,0,16,,,
138,LAMAR,3896,8788,443,369,224,219,16,14,5,631,533,4,639,477,438,85,554,41,12535,148,11.8,395,82,20.8%,128,32,,,132,10.5,61,124,94,118,0,60,5,8,5,55,94,1072463,1,2,1,33,26167.76,124,35,3837.04,177,12535,2397,9222,726,35,155,,,,,,,9849,15,1351,8,94,20,5,12535,0,9,0,0,0,0,9,32,301,0,1,0,302,,,
139,LAMB,1151,2526,142,126,117,112,0,0,0,208,194,2,297,227,210,49,248,7,4428,65,14.7,157,32,20.4%,35,18,,,38,8.6,16,41,37,25,0,16,0,0,5,4,39,514309,1,0,0,5,5000.00,41,3,81.00,82,4428,212,1456,2745,1,14,,,,,,,3562,3,127,1,12,3,0,4428,0,3,0,0,0,0,3,7,11,0,0,0,11,,,
140,LAMPASAS,1982,3512,93,85,56,73,0,0,0,259,232,2,316,252,247,51,265,16,5182,52,10.0,187,34,18.2%,65,10,,,47,9.1,19,50,38,30,0,21,0,2,4,5,39,603042,0,0,0,13,5860.39,50,0,0.00,55,5182,174,3556,1418,4,30,,,,,,,4016,5,371,4,48,5,9,5182,0,17,1,0,0,0,18,115,2,0,5,0,7,,,
141,LASALLE,492,933,29,25,19,29,0,0,0,60,53,0,87,63,63,16,71,7,1586,24,15.1,42,14,33.3%,28,11,,,25,15.8,7,25,16,18,0,7,0,2,6,4,16,204564,0,0,1,1,500.00,25,0,0.00,28,1586,16,175,1391,1,3,,,,,,,1322,2,99,0,0,10,0,1586,0,2,0,0,0,0,2,0,20,0,0,0,20,,,
142,LAVACA,1485,4099,90,82,49,37,0,0,0,150,127,1,140,114,104,14,126,2,4394,25,5.7,79,12,15.2%,32,9,,,11,2.5,5,11,6,5,0,5,0,0,0,0,6,72723,0,2,1,6,1080.00,11,0,0.00,27,4394,438,2890,1048,1,17,,,,,,,3447,10,473,10,118,13,5,4394,0,10,0,0,0,0,10,33,65,0,1,0,66,,,
143,LEE,1458,2517,55,41,25,42,0,0,0,136,110,2,161,108,91,32,129,37,4350,46,10.6,104,32,30.8%,18,8,1,0,78,17.9,41,76,54,72,0,41,6,8,0,23,54,569517,0,1,3,7,$986.60,76,1,$28.70,54,4350,506,2260,1553,1,30,,,,,,,3380,8,557,5,60,1,0,4350,0,23,0,0,0,0,23,90,13,0,0,0,13,,,
144,LEON,1341,4228,68,53,43,41,4,4,0,151,129,1,193,151,115,40,153,5,3557,36,10.1,105,23,21.9%,46,13,,,23,6.5,12,23,17,17,0,12,0,0,1,4,17,241122,0,0,3,1,$79.07,23,1,$27.00,62,3557,475,2522,542,2,16,,,,,,,2810,5,191,2,24,4,1,3557,0,5,0,0,0,0,5,9,26,0,0,0,26,,,
145,LIBERTY,6997,9479,398,322,235,275,21,18,5,947,801,4,1040,748,660,234,806,105,20386,269,13.2,607,158,26.0%,187,47,1,0,222,10.9,108,222,125,184,0,110,3,14,13,68,122,1614879,2,4,0,92,38765.13,222,10,6452.24,253,20386,2242,13695,4280,14,155,,,,,,,15751,21,1480,1,12,20,4,20386,0,12,0,0,0,0,12,46,58,0,0,0,58,,,
146,LIMESTONE,1849,3984,134,100,58,40,1036,1000,57,257,210,3,302,241,228,42,260,17,5590,53,9.5,184,35,19.0%,49,8,,,53,9.5,19,52,33,42,0,19,4,8,7,7,38,541464,0,1,2,9,2671.95,52,1,27.00,43,5590,1222,2962,1384,1,21,,,,,,,4412,8,617,4,48,6,4,5590,0,9,0,0,0,0,9,27,12,0,0,0,12,,,
147,LIPSCOMB,241,624,2,2,2,5,0,0,0,32,28,0,40,21,20,5,35,0,718,8,11.1,20,5,25.0%,6,4,,,6,8.4,2,6,5,2,0,2,1,0,0,0,5,35491,0,0,0,0,0.00,6,2,54.00,5,718,1,424,287,2,4,,,,,,,537,0,0,0,0,0,0,718,0,1,0,0,0,0,1,9,1,0,0,0,1,,,
148,LIVE OAK,1073,2238,45,40,26,17,0,0,0,125,116,0,197,122,100,50,147,12,2424,67,27.6,110,38,34.5%,53,6,1,0,21,8.7,10,24,15,21,0,11,3,7,0,9,15,139166,0,0,0,2,1144.63,24,0,0.00,86,2424,7,1103,1312,0,2,,,,,,,1897,2,64,2,24,3,1,2424,0,4,0,0,0,0,4,11,105,0,63,0,168,,,
149,LLANO,1438,6213,132,112,74,61,1,1,0,224,206,0,226,164,124,33,193,17,3066,56,18.3,142,37,26.1%,70,20,,,64,20.9,23,60,31,57,0,24,0,9,12,20,32,413322,0,0,4,4,943.50,60,2,1614.31,45,3066,11,2646,387,3,19,,,,,,,2377,6,310,1,12,5,0,3066,0,7,0,0,0,0,7,7,72,0,0,0,72,,,
150,LOVING,7,20,2,2,2,3,0,0,0,3,1,0,2,2,2,0,2,0,3,0,0.0,1,0,0.0%,2,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,3,0,1,2,0,0,,,,,,,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,LUBBOCK,20415,29476,3224,2881,2329,2901,356,326,89,3522,3195,30,4496,2972,2559,924,3572,222,67626,1378,20.4,2521,770,30.5%,627,144,,,899,13.3,310,868,646,652,0,326,27,117,120,148,646,9379585,4,50,6,301,344110.98,868,107,17124.44,1860,67626,6515,30710,28938,117,1346,,,,,,,54794,121,11896,34,408,88,37,67626,11,195,4,0,1,1,212,844,452,1017,71,16,1556,,,
152,LYNN,516,1067,37,35,31,54,0,0,0,55,44,0,87,56,50,13,74,2,1422,28,19.7,41,9,22.0%,6,3,,,8,5.6,4,8,8,5,0,4,0,2,0,1,8,92937,0,1,0,0,0.00,8,0,0.00,16,1422,54,626,735,2,5,,,,,,,1135,2,98,1,12,3,2,1422,0,2,0,0,0,0,2,3,16,0,0,0,16,,,
153,MADISON,1118,2357,48,44,23,24,0,0,0,131,124,2,199,137,106,13,186,7,3046,55,18.1,108,31,28.7%,36,9,,,38,12.5,9,37,18,27,0,10,0,5,7,6,17,259802,0,3,1,0,0.00,37,0,0.00,17,3046,612,1816,613,0,5,,,,,,,2440,7,253,3,36,6,2,3046,0,4,0,0,0,0,4,8,93,0,1,0,94,,,
154,MARION,915,2483,107,95,86,108,0,0,0,147,123,0,191,155,144,24,167,2,2233,33,14.8,110,22,20.0%,4,1,1,0,18,8.1,5,17,13,13,0,5,0,3,0,6,13,106355,0,1,0,11,17701.69,17,4,252.00,48,2233,805,1334,63,3,28,,,,,,,1749,2,131,2,24,0,1,2233,0,1,0,0,0,0,1,4,13,0,0,0,13,,,
155,MARTIN,384,753,13,14,11,14,0,0,0,33,27,0,58,55,44,0,58,0,1590,2,1.3,26,2,7.7%,2,1,,,2,1.3,0,2,1,2,0,0,0,1,0,1,1,642,0,0,0,2,1530.00,2,2,113.10,17,1590,30,737,822,0,1,,,,,,,1249,2,86,0,0,1,0,1590,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
156,MASON,310,1069,24,18,18,29,0,0,0,45,42,0,54,37,31,14,40,1,704,14,19.9,30,6,20.0%,9,2,,,6,8.5,2,6,5,3,0,2,0,0,1,0,5,43274,0,1,0,2,4765.00,6,0,0.00,35,704,0,473,229,1,1,,,,,,,561,4,124,0,0,1,0,704,0,2,0,0,0,0,2,5,18,0,0,0,18,,,
157,MATAGORDA,3141,5157,134,92,66,140,2,2,0,364,329,3,385,281,251,79,306,10,10427,81,7.8,217,58,26.7%,75,17,,,40,3.8,17,38,28,30,0,17,1,2,1,10,27,309109,2,4,0,21,15421.07,38,19,6734.40,209,10427,1377,3828,4855,19,348,,,,,,,8233,12,1023,0,0,30,5,10427,0,8,0,0,1,0,9,51,136,0,0,0,136,,,
158,MAVERICK,4210,5559,174,154,100,49,0,0,0,303,276,2,391,344,333,32,359,5,18819,43,2.3,238,25,10.5%,31,8,,,42,2.2,11,39,23,33,0,11,0,5,7,12,23,354239,0,1,0,3,1500.00,39,1,755.93,83,18819,10,290,18223,234,62,,,,,,,14914,19,1862,0,0,21,4,18819,0,6,0,0,0,0,6,16,118,0,0,77,195,,,
159,MCCULLOCH,632,1819,100,83,74,104,0,0,0,112,102,1,170,122,101,40,130,0,2091,44,21.0,94,26,27.7%,20,1,,,22,10.5,6,18,13,17,0,6,0,0,0,12,13,139560,0,2,0,40,43766.86,18,0,0.00,71,2091,25,1265,799,0,2,,,,,,,1672,4,186,3,36,2,0,2091,0,17,0,0,0,0,17,74,33,0,0,0,33,,,
160,MCLENNAN,17931,26813,1096,804,373,233,88,82,8,3051,2663,25,3939,3001,2810,621,3318,162,60002,794,13.2,2315,481,20.8%,440,87,4,0,490,8.2,205,488,376,397,0,216,15,73,69,68,371,4671811,2,20,14,76,83318.97,488,16,2428.26,854,60002,11346,26440,21444,47,725,,,,,,,48343,98,9574,25,300,58,28,60002,4,94,2,0,1,0,101,622,329,705,5,0,1039,,,
161,MCMULLEN,74,245,3,2,1,0,0,0,0,11,11,0,8,8,5,0,8,0,119,0,0.0,6,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,1,119,3,65,51,0,0,,,,,,,95,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
162,MEDINA,3868,6138,218,170,65,28,1,0,0,498,425,3,621,451,404,169,452,62,11545,158,13.7,330,88,26.7%,82,14,,,201,17.4,69,194,129,165,0,70,5,59,24,25,128,1848464,0,3,1,14,11686.14,194,7,1214.57,231,11545,61,4495,6917,12,60,,,,,,,8777,12,852,1,12,7,12,11545,1,30,1,0,0,0,32,137,110,0,1,0,111,,,
163,MENARD,201,625,29,25,20,23,0,0,0,21,19,0,48,42,37,4,44,7,478,6,12.6,26,4,15.4%,7,1,,,13,27.2,8,13,11,9,0,8,0,1,0,5,11,161398,0,0,0,4,6809.66,13,0,0.00,7,478,1,295,179,3,0,,,,,,,394,1,20,0,0,0,0,478,0,0,0,0,0,0,0,0,26,0,23,0,49,,,
164,MIDLAND,10248,14907,529,473,333,226,45,41,7,1278,1088,10,1630,1145,949,358,1272,66,35971,415,11.5,941,241,25.6%,276,99,,,218,6.1,75,211,147,192,0,74,22,31,24,56,145,1870488,0,18,5,112,91183.05,211,35,5144.05,509,35971,2864,15040,17410,68,589,,,,,,,28752,59,6157,10,117,51,9,35971,5,61,1,0,0,0,67,205,154,0,0,0,154,,,
165,MILAM,2043,4663,141,113,61,45,0,1,0,348,287,2,423,291,272,101,322,23,6940,116,16.7,231,62,26.8%,105,5,,,86,12.4,29,78,47,68,0,29,3,16,7,20,47,560839,1,3,0,9,2337.50,78,4,985.88,162,6940,1008,3598,2305,3,26,,,,,,,5484,9,539,6,72,13,0,6940,0,6,1,0,0,0,7,66,98,0,0,0,98,,,
166,MILLS,390,1313,25,25,13,5,0,0,0,52,43,0,57,49,48,4,53,2,1200,5,4.2,33,5,15.2%,18,4,,,8,6.7,0,8,4,3,0,0,0,1,0,2,4,103851,0,1,1,5,747.30,8,0,0.00,9,1200,18,939,242,0,1,,,,,,,955,0,0,2,24,1,4,1200,0,13,0,0,1,0,14,156,2,0,0,0,2,,,
167,MITCHELL,851,1466,73,58,34,31,0,0,0,134,109,0,142,114,100,24,118,4,1769,24,13.6,79,20,25.3%,29,11,,,12,6.8,4,12,10,8,0,4,0,2,0,2,10,72172,0,3,0,1,132.00,12,1,79.07,42,1769,107,814,842,1,5,,,,,,,1355,1,22,0,0,1,2,1769,0,3,0,0,0,0,3,6,14,0,0,2,16,,,
168,MONTAGUE,1474,4779,234,211,167,112,0,0,0,286,240,3,346,216,186,111,235,44,4578,125,27.3,199,65,32.7%,46,11,,,113,24.7,46,106,73,78,0,47,5,8,4,21,71,836531,0,6,0,8,10241.66,106,1,95.00,184,4578,7,4041,486,12,32,,,,,,,3661,6,221,4,48,2,4,4578,0,7,0,0,0,0,7,20,20,0,0,0,20,,,
169,MONTGOMERY,42260,47850,1453,1113,744,688,28,26,3,4084,3436,30,4512,3378,2448,955,3557,265,118020,996,8.4,2781,630,22.7%,451,99,4,0,933,7.9,338,895,482,801,0,350,39,132,132,249,473,6314386,3,22,11,331,251701.90,895,105,26612.09,1574,118020,5489,81783,28825,137,1786,,,,,,,85486,152,18109,20,240,71,39,118020,7,167,4,0,0,0,178,588,828,0,14,0,842,,,
170,MOORE,1639,2348,63,54,36,46,5,2,0,253,234,1,383,255,233,58,325,18,5900,109,18.5,190,55,28.9%,72,10,,,31,5.3,18,32,20,26,0,18,2,0,0,6,20,335992,0,0,0,4,1646.50,32,8,672.00,73,5900,16,2356,3472,2,54,,,,,,,4536,5,303,0,0,7,2,5900,0,0,0,0,0,0,0,0,23,0,0,0,23,,,
171,MORRIS,1065,2650,94,82,49,42,1,0,0,186,139,0,221,170,157,36,185,20,3082,46,14.9,130,30,23.1%,20,5,,,36,11.7,21,36,12,33,0,25,1,2,4,20,12,133678,0,1,1,19,10999.92,36,1,27.00,66,3082,878,1974,209,2,19,,,,,,,2427,3,140,2,24,8,2,3082,0,5,0,0,0,0,5,15,17,0,0,0,17,,,
172,MOTLEY,101,416,10,10,7,8,0,0,0,6,5,0,15,15,15,0,15,1,254,0,0.0,6,0,0.0%,0,0,,,3,11.8,1,3,2,3,0,1,0,0,0,2,2,27577,0,0,0,0,0.00,3,0,0.00,0,254,4,203,46,1,0,,,,,,,181,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
173,NACOGDOCHES,4957,8532,293,263,242,287,2,2,0,659,470,6,721,507,454,127,594,52,15040,190,12.6,383,93,24.3%,100,15,,,183,12.2,75,175,141,138,0,74,10,18,19,30,140,1467348,1,8,3,29,22183.87,175,15,3531.69,173,15040,3010,8024,3788,18,200,,,,,,,11584,15,2036,2,24,11,4,15040,1,33,0,0,1,0,35,133,72,0,30,0,102,,,
174,NAVARRO,4058,7213,319,258,167,194,60,49,9,564,519,5,525,435,327,79,446,24,13385,78,5.8,296,50,16.9%,62,9,,,101,7.5,30,107,87,67,0,30,1,14,17,12,87,1277862,0,2,1,77,81899.72,107,6,1244.10,175,13385,2289,6192,4766,7,131,,,,,,,10327,19,1554,4,48,15,16,13385,2,58,0,0,2,0,62,268,66,0,33,0,99,,,
175,NEWTON,1200,2599,122,108,77,76,0,0,0,145,128,0,145,130,102,9,136,10,3219,12,3.7,94,12,12.8%,16,0,,,17,5.3,11,17,17,11,0,10,1,0,0,3,17,330902,0,1,0,6,2175.00,17,0,0.00,54,3219,1024,2066,95,6,28,,,,,,,2444,5,239,0,0,1,0,3219,0,5,0,0,0,0,5,17,17,0,0,0,17,,,
176,NOLAN,1192,2347,185,160,116,89,7,6,0,268,230,1,365,234,196,115,250,23,3603,122,33.9,192,58,30.2%,77,24,,,37,10.3,20,37,26,27,0,20,0,1,3,6,26,236006,0,4,0,10,9119.99,37,1,27.00,131,3603,211,1883,1498,1,10,,,,,,,2860,9,609,1,12,4,2,3603,0,8,0,0,0,0,8,24,28,0,0,15,43,,,
177,NUECES,26675,33668,2123,1775,1342,1546,596,574,73,4404,4004,37,5889,4433,3776,1431,4458,185,87714,1256,14.3,3455,756,21.9%,1324,339,4,0,785,8.9,253,755,560,639,0,259,91,87,56,267,554,6648829,2,19,7,198,269334.29,755,145,28955.31,2659,87714,4201,19699,62213,110,1491,,,,,,,71392,157,13460,41,492,81,55,87714,10,156,2,0,0,0,168,674,957,2155,133,30,3275,,,
178,OCHILTREE,775,1184,21,23,18,43,0,0,0,106,97,0,127,97,74,14,113,3,2932,28,9.5,72,14,19.4%,8,2,,,11,3.8,5,14,10,7,0,5,0,0,0,2,9,127616,0,1,0,1,750.00,14,0,0.00,19,2932,3,1450,1456,8,15,,,,,,,2351,5,333,0,0,4,0,2932,0,4,0,0,0,0,4,9,10,0,13,0,23,,,
179,OLDHAM,188,393,4,5,2,1,0,0,0,24,21,0,15,13,13,2,13,0,486,2,4.1,10,1,10.0%,1,0,,,1,2.1,0,1,1,1,0,0,0,1,0,0,1,23300,0,2,0,0,0.00,1,0,0.00,2,486,13,410,61,1,1,,,,,,,373,2,95,0,0,0,0,486,0,2,1,0,0,0,3,443,0,0,0,0,0,0,0,0
180,ORANGE,6803,12546,606,479,276,238,7,7,2,1291,1185,11,1681,1224,940,183,1498,85,20515,411,20.0,1043,260,24.9%,81,17,1,0,188,9.2,106,184,173,158,1,107,7,19,21,30,174,1639078,3,23,2,45,35485.16,184,4,145.92,199,20515,2626,16309,1200,37,343,,,,,,,15416,24,2319,6,72,10,9,20515,0,45,0,0,0,0,45,160,84,0,0,0,84,,,
181,PALO PINTO,2213,5154,199,153,101,134,0,0,0,410,384,3,516,380,306,79,437,31,7229,114,15.8,287,76,26.5%,71,18,,,84,11.6,40,82,61,76,0,41,4,14,11,15,62,566437,0,2,0,49,34228.27,82,1,207.40,125,7229,219,4931,2004,11,64,,,,,,,5702,4,395,1,12,16,7,7229,0,5,0,0,0,0,5,17,34,0,0,0,34,,,
182,PANOLA,1865,4273,134,106,75,101,0,0,0,210,181,2,259,206,192,21,238,8,5521,45,8.2,159,26,16.4%,29,5,,,35,6.3,14,34,29,28,0,14,0,0,0,14,29,305671,0,3,1,12,7221.62,34,0,0.00,50,5521,1262,3864,366,3,26,,,,,,,4358,7,546,3,36,7,2,5521,0,7,0,0,0,0,7,23,42,0,0,0,42,,,
183,PARKER,10659,14373,376,253,185,280,4,3,1,1289,1179,10,1476,1140,963,233,1243,17,27403,293,10.7,874,169,19.3%,159,49,1,0,73,2.7,25,73,64,54,0,22,1,12,11,8,64,809830,0,3,1,25,28883.03,73,9,4853.91,390,27403,343,22955,3852,49,204,,,,,,,19834,42,3863,0,0,19,12,27403,0,43,1,0,0,0,44,199,33,0,2,0,35,,,
184,PARMER,804,1399,19,16,13,13,0,0,0,72,65,0,89,74,70,7,82,1,2814,13,4.6,56,9,16.1%,8,2,,,11,3.9,1,10,7,8,0,1,0,2,2,4,8,161658,1,0,0,1,4000.00,10,0,0.00,11,2814,15,1074,1720,1,4,,,,,,,2186,1,48,0,0,3,0,2814,0,3,0,0,0,0,3,13,11,0,0,0,11,,,
185,PECOS,1440,2073,96,96,82,94,0,0,0,164,143,2,209,142,121,42,167,4,4491,56,12.5,112,29,25.9%,36,7,,,38,8.5,8,37,25,27,0,8,0,2,0,22,25,270626,0,2,0,4,3622.18,37,13,3662.58,80,4491,39,1106,3334,3,9,,,,,,,3541,4,319,2,24,4,1,4491,0,2,0,0,0,0,2,5,18,0,0,0,18,,,
186,POLK,4032,12304,460,394,310,312,1,1,0,608,504,6,630,505,450,67,563,28,9445,114,12.1,376,66,17.6%,135,36,,,126,13.3,47,125,93,110,0,48,10,3,16,41,89,692509,0,8,2,42,25815.71,125,20,1947.61,149,9445,1311,6190,1629,143,172,,,,,,,7374,8,814,2,24,4,3,9445,0,21,0,0,0,0,21,96,63,0,11,0,74,,,
187,POTTER,9786,13296,853,752,569,587,34,21,5,2283,2073,24,2777,1963,1542,625,2152,92,36351,764,21.0,1581,401,25.4%,487,163,1,0,332,9.1,116,326,288,218,0,129,16,40,19,53,285,4475669,1,22,0,269,181269.29,326,168,24875.75,1155,36351,3692,14821,16682,54,1102,,,,,,,29506,45,4321,0,0,82,35,36351,6,74,2,0,0,0,82,300,183,1025,9,0,1217,,,
188,PRESIDIO,634,1197,27,29,26,32,0,0,0,60,53,0,54,36,34,12,42,1,2753,18,6.5,31,8,25.8%,12,0,,,4,1.5,1,4,3,3,0,3,0,0,0,0,3,37628,0,0,0,0,0.00,4,0,0.00,18,2753,2,170,2581,0,0,,,,,,,2268,1,30,0,0,4,1,2753,0,0,0,0,0,0,0,0,21,0,0,0,21,,,
189,RAINS,994,2456,60,47,38,39,0,0,0,101,91,0,114,76,62,14,100,3,2064,35,17.0,64,21,32.8%,21,4,,,22,10.7,10,22,17,18,0,10,1,2,0,9,16,226545,0,2,0,11,8258.55,22,1,95.00,36,2064,45,1788,208,8,15,,,,,,,1560,2,102,0,0,2,0,2064,0,6,0,0,0,0,6,19,19,0,0,0,19,,,
190,RANDALL,9924,15370,445,383,270,293,82,94,13,1185,1097,5,1483,1081,908,277,1206,136,25611,378,14.8,921,221,24.0%,225,43,,,409,16.0,154,391,293,277,0,169,17,36,29,80,288,4355289,2,28,2,77,39617.35,391,26,5169.50,465,25611,648,18848,5493,62,560,,,,,,,19039,45,4746,1,12,78,56,25611,3,88,4,0,0,0,95,446,82,0,17,0,99,,,
191,REAGAN,282,498,14,11,5,1,0,0,0,30,29,0,38,29,26,5,33,1,775,7,9.0,23,6,26.1%,0,0,,,5,6.5,1,5,5,5,0,1,0,3,1,0,5,50789,0,0,0,0,$0.00,5,0,$0.00,6,775,25,280,469,0,1,,,,,,,612,1,60,0,0,2,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,REAL,242,1078,30,27,9,11,0,0,0,42,41,0,52,36,31,10,42,3,616,16,26.0,31,8,25.8%,7,0,,,10,16.2,3,10,9,8,0,3,1,3,0,2,9,129135,0,0,0,0,$0.00,10,1,$395.85,10,616,3,438,172,1,2,,,,,,,457,4,155,0,0,2,0,616,0,2,0,0,0,0,2,9,9,0,0,4,13,,,
